Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Out of sight, out of mind? How vulnerable dependencies affect open-source projects","Empirical Software Engineering","","26","4","10.1007/s10664-021-09959-3","Gede Artha Azriadi PranaAbhishek SharmaLwin Khin SharDarius FooAndrew E. SantosaAsankhaya SharmaDavid Lo","2021","http://link.springer.com/article/10.1007/s10664-021-09959-3","Article"
"Distributed model validation with Epsilon","Software and Systems Modeling","","20","5","10.1007/s10270-021-00878-x","Sina MadaniDimitris KolovosRichard F. Paige","2021","http://link.springer.com/article/10.1007/s10270-021-00878-x","Article"
"A Comprehensive Analysis on Image Encryption and Compression Techniques with the Assessment of Performance Evaluation Metrics","SN Computer Science","","2","1","10.1007/s42979-020-00397-4","N. MahendiranC. Deepa","2021","http://link.springer.com/article/10.1007/s42979-020-00397-4","Article"
"Searching String in Big-Data: A Better Approach by Applied Machine Learning","SN Computer Science","","2","3","10.1007/s42979-021-00569-w","Paras Nath SinghTara P. Gowdar","2021","http://link.springer.com/article/10.1007/s42979-021-00569-w","Article"
"On systematically building a controlled natural language for functional requirements","Empirical Software Engineering","","26","4","10.1007/s10664-021-09956-6","Alvaro VeizagaMauricio AlferezDamiano TorreMehrdad SabetzadehLionel Briand","2021","http://link.springer.com/article/10.1007/s10664-021-09956-6","Article"
"A hierarchical model for quantifying software security based on static analysis alerts and software metrics","Software Quality Journal","","29","2","10.1007/s11219-021-09555-0","Miltiadis SiavvasDionysios KehagiasDimitrios TzovarasErol Gelenbe","2021","http://link.springer.com/article/10.1007/s11219-021-09555-0","Article"
"Characterizing refactoring graphs in Java and JavaScript projects","Empirical Software Engineering","","26","6","10.1007/s10664-021-10023-3","Aline BritoAndre HoraMarco Tulio Valente","2021","http://link.springer.com/article/10.1007/s10664-021-10023-3","Article"
"Low-congestion shortcut and graph parameters","Distributed Computing","","34","5","10.1007/s00446-021-00401-x","Naoki KitamuraHirotaka KitagawaYota OtachiTaisuke Izumi","2021","http://link.springer.com/article/10.1007/s00446-021-00401-x","Article"
"Hybrid Data Privacy and Anonymization Algorithms for Smart Health Applications","SN Computer Science","","2","2","10.1007/s42979-021-00547-2","Y. N. FakeeroodeenY. Beeharry","2021","http://link.springer.com/article/10.1007/s42979-021-00547-2","Article"
"Intent-driven cloud resource design framework to meet cloud performance requirements and its application to a cloud-sensor system","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00242-w","Chao WuShingo HoriuchiKenji MuraseHiroaki KikushimaKenichi Tayama","2021","http://link.springer.com/article/10.1186/s13677-021-00242-w","Article"
